HDBID,Database Item URL,Collectible URL,Image URL,Name,Sale Title,Series,Brand,Exclusive To,UPC,Release Date,Production Status,Scale,Reference Number,Estimated Value,Item Condition,Condition Notes,Grading Company,Grade,Grade Authenticity Number,More Details,Quantity,HDBC Number,Storage Location,Paused,Final Price,Put on Sale Date,Selling Format,List Name,List Id,Private Notes,Description,Date Added To Collectible,Date Purchased,Packaging Condition,Privacy,Price Paid,Acquired From
753208,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/753208"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671598"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1375165/Freddy_Funko_Vinyl_Art_Toys_ced6f87c-cfbe-4232-85a9-5ae9d6777de0.png,Freddy Funko,,"Pop! Vinyl, Pop! Digital, Iron Maiden X Funko Series 1",Funko,NFT Redeemable,889698637794,2021/9/30,"Exclusive, Limited Edition","3.75""",11,135.0,Mint,,,,,,1,HDBC57671598,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
760292,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/760292"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671605"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1091196/Freddy_Funko_Vinyl_Art_Toys_e6c75790-b978-445a-991e-83368f6ce0b2.png,Freddy Funko,,"Pop! Vinyl, Pop! Digital, Series 1",Funko,NFT Redeemable,889698665476,2022/1/18,"Exclusive, Limited Edition","3.75""",32,75.0,Mint,,,,,,1,HDBC57671605,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
760292,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/760292"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671606"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1091196/Freddy_Funko_Vinyl_Art_Toys_e6c75790-b978-445a-991e-83368f6ce0b2.png,Freddy Funko,,"Pop! Vinyl, Pop! Digital, Series 1",Funko,NFT Redeemable,889698665476,2022/1/18,"Exclusive, Limited Edition","3.75""",32,75.0,Mint,,,,,,1,HDBC57671606,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
760292,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/760292"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671604"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1091196/Freddy_Funko_Vinyl_Art_Toys_e6c75790-b978-445a-991e-83368f6ce0b2.png,Freddy Funko,,"Pop! Vinyl, Pop! Digital, Series 1",Funko,NFT Redeemable,889698665476,2022/1/18,"Exclusive, Limited Edition","3.75""",32,75.0,Mint,,,,,,1,HDBC57671604,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
760292,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/760292"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671607"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1091196/Freddy_Funko_Vinyl_Art_Toys_e6c75790-b978-445a-991e-83368f6ce0b2.png,Freddy Funko,,"Pop! Vinyl, Pop! Digital, Series 1",Funko,NFT Redeemable,889698665476,2022/1/18,"Exclusive, Limited Edition","3.75""",32,75.0,Mint,,,,,,1,HDBC57671607,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
799238,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/799238"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671595"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1181588/Freddy_Mummy_Vinyl_Art_Toys_6885e721-c662-4e96-8061-289ba76e9780.jpg,Freddy Mummy,,"Soda Figures, Funko Halloween Series 2021",Funko,NFT Redeemable,889698647908,2021/10/29,"Exclusive, Limited Edition","4""",,105.0,Mint,,,,,,1,HDBC57671595,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
748789,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/748789"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671584"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1181124/Freddy_Funko_as_Vampire_Vinyl_Art_Toys_6d746fe8-5e57-4185-8118-a90836d9a23f.jpg,Freddy Funko As Vampire,,"Pop! Vinyl, Pop! Digital, Funko Halloween Series 2021",Funko,NFT Redeemable,889698647939,2021/10/29,"Exclusive, Limited Edition","3.75""",14,160.0,Mint,,,,,,1,HDBC57671584,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
770860,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/770860"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671615"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1176396/Optimus_Prime_Vinyl_Art_Toys_fa5fb218-8b81-4cc3-8477-409117cb512c.jpg,Optimus Prime,,"Pop! Vinyl, Pop! Digital, Transformers X Funko Series 1",Funko,NFT Redeemable,889698677585,2022/3/15,"Exclusive, Limited Edition","3.75""",49,370.0,Mint,,,,,,1,HDBC57671615,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
760294,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/760294"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671608"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1091189/Popeye_Vinyl_Art_Toys_faad426b-4496-43f5-a505-88946e2cd2ba.png,Popeye With Swee'Pea,,"Pop! Vinyl, Pop! Digital, Series 1",Funko,NFT Redeemable,889698665490,2022/1/18,"Exclusive, Limited Edition","3.75""",30,175.0,Mint,,,,,,1,HDBC57671608,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
746438,"=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/catalog_items/746438"")","=HYPERLINK(""https://www.hobbydb.com/marketplaces/hobbydb/collectibles/57671543"")",https://images.hobbydb.com/processed_uploads/catalog_item_photo/catalog_item_photo/image/1703037/Tommy_Art_Toys_5cd1c266-6f63-4631-8f54-7b86f808b902(2).png,Tommy,,"Pop! Vinyl, Pop! Digital",Funko,NFT Redeemable,889698665421,2022/2/1,"Exclusive, Limited Edition","3.75""",28,100.0,Mint,,,,,,1,HDBC57671543,,,,,,Nft funko,1897697,,,2023-08-04,,Mint,Public,,
